V1	V2
MYC	ITFG1
MYC	IL4I1
MYC	IL17RC
MYC	IL16
MYC	IGF2R
MYC	IFITM3
MYC	IFITM2
MYC	IFI44L
MYC	HSP90B1
MYC	HERC5
MYC	GYPA
MYC	GIMAP7
MYC	FOXK2
MYC	FLT3
MYC	FGFR4
MYC	FABP5
MYC	ERGIC2
MYC	EEF1B2
MYC	CXCL2
MYC	CTBP2
MYC	CSF2RB
MYC	CRLF3
MYC	CMTM7
MYC	CD300A
MYC	CCL25
MYC	CASP6
MYC	C5AR1
MYC	ALDH4A1
MYC	ALCAM
MYC	ADAR
MYC	ACP5
MYC	ABCF1
MYC	PARP10
NRF1	MAFF
NRF1	CXCR4
NRF1	DYNLL1
PGR	CCND1
PGR	BCL2
PGR	CYP19A1
PGR	E2F1
PGR	EGFR
PGR	MYC
PGR	PIK3CA
PGR	IL10
PGR	BAG1
PGR	MAPK14
PGR	PIK3R1
PGR	PIK3R3
PGR	BATF3
PGR	PTGS2
PGR	ITGA6
PGR	KLK3
PGR	DUSP1
PGR	WNT4
PGR	PIK3CB
PGR	PIK3CD
PGR	PIK3R2
RET	HRAS
SERPINB9	CTSG
SP1	FOS
SP1	CCND1
SP1	AHR
SP1	AR
SP1	BCL2
SP1	BLM
SP1	BRCA1
SP1	CDK4
SP1	CDKN1A
SP1	CTNNB1
SP1	CYP19A1
SP1	EGFR
SP1	KDR
SP1	MICB
SP1	PGR
SP1	PLAC1
SP1	USF2
SP1	THBD
SP1	SOCS5
SP1	SMAD4
SP1	SHC1
SP1	PSMF1
SP1	NT5E
SP1	LTF
SP1	ITGB1
SP1	ITGA2
SP1	IL10
SP1	ALDOA
SP1	BAG1
SP1	CALM3
SP1	HNF4A
SP1	LCK
SP1	SMAD3
SP1	TBP
SP1	INSR
SP1	HIF1A
SP1	NR3C1
SP1	STAT6
SP1	IKBKB
SP1	TNF
SP1	IL2
SP1	MMP9
SP1	IL1A
SP1	CCL2
SP1	BATF3
SP1	DDIT3
SP1	FAS
SP1	PLAUR
SP1	PTGS2
SP1	SPI1
SP1	ITGA5
SP1	SLC3A2
SP1	FOSL1
SP1	F3
SP1	TRAF3
SP1	TNFRSF12A
SP1	TIMP1
SP1	TGFB1
SP1	SOX9
SP1	RTN4RL1
SP1	PLAA
SP1	MT2A
SP1	KLF4
SP1	KLF12
SP1	ISG20
SP1	IL6ST
SP1	IL1RL1
SP1	IL12B
SP1	E2F6
SP1	DVL2
SP1	DUSP4
SP1	CXCL14
SP1	COTL1
SP1	CHI3L1
SP1	CHEK2
SP1	CCL5
SP1	BTK
SP1	ATF7
SP1	CCL3
SP1	ELK1
SP1	HRAS
SP1	IL1B
SP1	ABCB1
SP1	ITGAX
SP1	LDHA
SP1	NFKB2
SP1	TNFRSF10A
SP1	PRNP
SP1	PPP1R15A
SP1	MXI1
SP1	CCND2
SP1	YAP1
SP1	TNFRSF8
SP1	SDCBP
SP1	MYL6
SP1	JAK3
SP1	ITGA6
SP1	IL2RB
SP1	GATA3
SP1	ELF1
SP1	EGR1
SP1	DNAJB1
SP1	CXCL1
SP1	CD9
SP1	CD63
SP1	CD5
SP1	CD44
SP1	CD2AP
SP1	CD22
SP1	CD163
SP1	CCR7
SP1	APOBEC3B
SP1	HOXA9
SP1	NFE2L1
SP1	ADA
SP1	ADAM10
SP1	ATP2A3
SP1	BAX
SP1	BSG
SP1	C1QBP
SP1	C4A
SP1	C4B
SP1	CASP3
SP1	PROM1
SP1	CD14
SP1	CD151
SP1	CD1D
SP1	CD28
SP1	CD83
SP1	ADGRE5
SP1	CD99
SP1	CDK6
SP1	CREB1
SP1	CXCL5
SP1	DCK
SP1	DDB2
SP1	ENG
SP1	FGFR3
SP1	FOLR1
SP1	IFNGR1
SP1	IRF5
SP1	ITGAD
SP1	ITGAV
SP1	ITGB3
SP1	KIT
SP1	KLK3
SP1	LRP5
SP1	LYZ
SP1	MICA
SP1	MME
SP1	MMP11
SP1	MPO
SP1	MUC5AC
SP1	MYBL2
SP1	NQO2
SP1	ODC1
SP1	PGLYRP2
SP1	PSIP1
SP1	PTEN
SP1	RORA
SP1	SIGIRR
SP1	SOCS1
SP1	SPN
SP1	ST6GAL1
SP1	TCN2
SP1	TLR2
SP1	TNFRSF10B
SP1	TYMP
SP1	WAS
SP1	WT1
SP1	TRAF7
SP1	TAPBP
SP1	TAL1
SP1	SIN3A
SP1	SEMA7A
SP1	REL
SP1	RASSF7
SP1	PTK7
SP1	NFYC
SP1	NFE2
SP1	LY75
SP1	ITGAM
SP1	HES1
SP1	EGFL7
SP1	CCL20
SP1	CADM1
SP1	XRCC3
SP1	WASF3
SP1	WASF1
SP1	UNG
SP1	ULBP1
SP1	TYK2
SP1	TRIM22
SP1	TPT1
SP1	TNFSF13
SP1	TLR7
SP1	SPHK1
SP1	SMC3
SP1	SMARCAL1
SP1	SHC2
SP1	SERPING1
SP1	SERF1A
SP1	SDF2
SP1	SDC1
SP1	SCARB1
SP1	SAMSN1
SP1	RREB1
SP1	RNF213
SP1	RAG2
SP1	RAD54L
SP1	PTPRJ
SP1	PTMS
SP1	PSME2
SP1	PPP3R1
SP1	PPM1K
SP1	PPIA
SP1	POU3F3
SP1	PITRM1
SP1	PITPNM3
SP1	PAFAH1B3
SP1	PAFAH1B1
SP1	ORC6
SP1	OAS3
SP1	NFKBIA
SP1	NCF1
SP1	NCAM1
SP1	NBN
SP1	MYD88
SP1	MUC1
SP1	MCL1
SP1	MCAM
SP1	MAP2K1
SP1	LTBR
SP1	LTB4R2
SP1	LTB4R
SP1	LILRA2
SP1	LGALS9
SP1	LAMP3
SP1	KLLN
SP1	JMJD6
SP1	ITGAL
SP1	IPP
SP1	ILF3
SP1	IL13
SP1	IL11RA
SP1	IDH2
SP1	ICAM2
SP1	HMMR
SP1	HMGB1
SP1	GYPC
SP1	GRB7
SP1	GPR180
SP1	GAPDH
SP1	FZD5
SP1	FZD4
SP1	FURIN
SP1	FGF5
SP1	FCAR
SP1	FANCM
SP1	EIF3L
SP1	ECI2
SP1	DVL3
SP1	DUSP1
SP1	DOCK2
SP1	DLL1
SP1	DKC1
SP1	CYBA
SP1	CSF3R
SP1	CRLF1
SP1	CRADD
SP1	CNOT8
SP1	CISH
SP1	CHST12
SP1	CHD2
SP1	CEACAM5
SP1	CDK1
SP1	CDC5L
SP1	CD79B
SP1	CD74
SP1	CD7
SP1	CD52
SP1	CD37
SP1	CD33
SP1	CD19
SP1	CCRL2
SP1	CCL27
SP1	CCL24
SP1	CANX
SP1	CADM2
SP1	C8G
SP1	C2
SP1	C1RL
SP1	BST1
SP1	BCAP31
SP1	BCAM
SP1	B2M
SP1	AXIN2
SP1	ARPC2
SP1	ARPC1B
